File,Câu hỏi user,Trả lời được phép nói với user,Ghi chú nội bộ (không nói user),Hướng xử lý / Escalation,Nguồn,Kiểm chứng & độ tin cậy
00-tong-quan-game.md,ZingSpeed Mobile là game gì?,"ZingSpeed Mobile là game đua xe 3D do VNG phát hành tại Việt Nam, kết hợp đua tốc độ với tính năng xã hội (kết bạn, trang trí, xây dựng không gian riêng). Game miễn phí tải, có vật phẩm mua trong game.","- Nhà phát triển/phát hành: VNG Corporation. Thể loại: Racing. Mô hình: free-to-play, có in-app purchase (kim cương/vật phẩm trang trí). - Game gốc thuộc dòng đua xe casual phổ biến; bản VN đã Việt hóa.",- CS tự trả lời được: có. - Không cần escalation cho câu hỏi giới thiệu.,App Store VN (https://apps.apple.com/vn/app/id1435297178) · Google Play (https://play.google.com/store/apps/details?id=com.vng.speedvn),2026-06-13 · Độ tin cậy: ✅ chắc chắn
00-tong-quan-game.md,Game chơi trên nền tảng nào? Cần thiết bị gì?,Game có trên Android (Google Play) và iOS (App Store). Trên iOS cần iOS 13.0 trở lên. Bạn nên tải qua đúng store chính thức để đảm bảo an toàn.,"- iOS: yêu cầu iOS 13.0+, dung lượng ~3.7 GB (theo App Store). - Android: ID ứng dụng com.vng.speedvn. Yêu cầu Android tùy phiên bản (các bản cũ ghi Android 4.4+, nhưng yêu cầu thực tế có thể cao hơn theo bản mới) → kiểm tra lại trên Google Play khi user hỏi cụ thể. - Dung lượng tải lớn (vài GB) → user cần wifi và bộ nhớ trống.",- CS tự trả lời được: có. Nếu user hỏi cấu hình tối thiểu chính xác → dẫn user xem mục yêu cầu trên store.,App Store VN (https://apps.apple.com/vn/app/id1435297178) · Google Play (https://play.google.com/store/apps/details?id=com.vng.speedvn),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản (yêu cầu thiết bị đổi theo bản cập nhật)
00-tong-quan-game.md,Kênh chính thức của game ở đâu?,Các kênh chính thức của ZingSpeed Mobile: - Trang chủ: zingspeedm.vnggames.com - Fanpage Facebook: facebook.com/zingspeedmobile.vng - Hỗ trợ: support.vnggames.com — Hotline 1900 561 558 Bạn nên chỉ làm theo thông tin từ các kênh này để tránh bị lừa đảo.,- Đây là danh sách dùng để CS dẫn nguồn cho user và cảnh báo tránh kênh giả mạo. - Có thêm YouTube/TikTok chính thức (mảng nội dung/sự kiện).,- CS tự trả lời được: có.,Trang chủ (https://zingspeedm.vnggames.com) · Fanpage Facebook (https://www.facebook.com/zingspeedmobile.vng/) · Hỗ trợ VNGGames (https://support.vnggames.com),2026-06-13 · Độ tin cậy: ✅ chắc chắn
01-tai-khoan-dang-nhap.md,Game đăng nhập bằng những cách nào?,"ZingSpeed Mobile hỗ trợ đăng nhập bằng Zing ID, Facebook, Zalo, hoặc tài khoản ""Chơi ngay"" (chơi luôn không cần tài khoản bên thứ ba). Nếu dùng ""Chơi ngay"", bạn nên bảo vệ tài khoản bằng email để không bị mất khi đổi máy hay xóa game.","- 4 phương thức: Zing ID, Facebook, Zalo, ""Chơi ngay"". - ""Chơi ngay"" mặc định gắn với thiết bị → nếu user không đặt email bảo vệ thì rất dễ mất tài khoản. Đây là nguyên nhân phổ biến của khiếu nại ""mất nhân vật"".",- CS tự trả lời được: có.,"Hướng dẫn tài khoản ""chơi ngay"" (https://zingspeedm.vnggames.com/bai-viet/gioi-thieu/huong-dan-s-dung-tai-khoan-choi-ngay.html)",2026-06-13 · Độ tin cậy: ✅ chắc chắn
01-tai-khoan-dang-nhap.md,"Tài khoản ""Chơi ngay"" là gì? Làm sao để không bị mất?","""Chơi ngay"" là cách vào game ngay mà không cần Zing ID/Facebook/Zalo. Để không bị mất tài khoản khi đổi máy hoặc xóa game, bạn hãy đặt email bảo vệ: 1. Ở màn hình đăng nhập, chọn ""Chơi Ngay"". 2. Mở giao diện ""Bảo vệ tài khoản"". 3. Nhập email bảo vệ và mật khẩu đăng nhập game (không phải mật khẩu email). 4. Nhấn ""Đồng ý"" để hoàn tất.","- Nhấn mạnh: mật khẩu nhập ở bước 3 là mật khẩu game, không phải mật khẩu của hộp mail — user hay nhầm. - Tài khoản chưa đặt email bảo vệ mà mất thì khả năng khôi phục rất thấp → khuyến khích user đặt email ngay.",- CS tự trả lời được: có.,"Hướng dẫn tài khoản ""chơi ngay"" (https://zingspeedm.vnggames.com/bai-viet/gioi-thieu/huong-dan-s-dung-tai-khoan-choi-ngay.html)",2026-06-13 · Độ tin cậy: ✅ chắc chắn
01-tai-khoan-dang-nhap.md,"Tôi đổi điện thoại, làm sao lấy lại tài khoản ""Chơi ngay""?","Nếu trước đó bạn đã đặt email bảo vệ: 1. Tại màn hình đăng nhập, chọn ""Phương thức khác"". 2. Chọn ""Khôi phục tài khoản chơi ngay"". 3. Nhập email bảo vệ và mật khẩu đã đăng ký. 4. Tài khoản sẽ dùng được trên máy mới.","- Điều kiện tiên quyết: user phải đã đặt email bảo vệ trước đó. Nếu chưa → không khôi phục theo cách này được, cần đưa qua kênh hỗ trợ.","- CS tự trả lời được: có (nếu user đã có email bảo vệ). - Chuyển cấp: nếu user chưa từng đặt email bảo vệ hoặc không còn truy cập được email → hướng dẫn user gửi yêu cầu lên support.vnggames.com / hotline 1900 561 558, thu thập: tên nhân vật, server, thời điểm tạo, thông tin giao dịch nạp (nếu có) để chứng minh sở hữu.","Hướng dẫn tài khoản ""chơi ngay"" (https://zingspeedm.vnggames.com/bai-viet/gioi-thieu/huong-dan-s-dung-tai-khoan-choi-ngay.html) · Hỗ trợ VNGGames (https://support.vnggames.com)",2026-06-13 · Độ tin cậy: ✅ chắc chắn
01-tai-khoan-dang-nhap.md,"Tôi quên mật khẩu tài khoản ""Chơi ngay"", phải làm sao?","1. Chọn ""Phương thức khác"" → ""Khôi phục tài khoản"". 2. Nhấn ""Quên mật khẩu"". 3. Nhập email bảo vệ rồi chọn ""Đồng ý"". 4. Mở email, tìm thư từ VNG và bấm vào link trong thư. 5. Đặt mật khẩu mới rồi nhấn ""Cập nhật"".","- Phụ thuộc vào việc user còn truy cập được email bảo vệ. Nếu thư không tới → kiểm tra hộp spam, sai email, hoặc chưa đặt email bảo vệ.",- CS tự trả lời được: có. - Chuyển cấp: nếu user không nhận được mail sau khi đã thử lại + kiểm tra spam → support.vnggames.com.,"Hướng dẫn tài khoản ""chơi ngay"" (https://zingspeedm.vnggames.com/bai-viet/gioi-thieu/huong-dan-s-dung-tai-khoan-choi-ngay.html)",2026-06-13 · Độ tin cậy: ✅ chắc chắn
01-tai-khoan-dang-nhap.md,Tài khoản Zing ID / Facebook / Zalo bị mất hoặc bị hack thì sao?,"Với tài khoản Zing ID, Facebook hoặc Zalo, việc đăng nhập/lấy lại mật khẩu được xử lý qua chính nhà cung cấp tài khoản đó (Zing ID, Facebook, Zalo). Nếu nghi ngờ bị hack, bạn hãy đổi mật khẩu tài khoản đó ngay và liên hệ hỗ trợ chính thức: support.vnggames.com — Hotline 1900 561 558.",- ZingSpeed không tự đặt lại mật khẩu Facebook/Zalo của user — đó là tài khoản bên thứ ba. - Trường hợp hack/đánh cắp tài khoản trong game (mất vật phẩm…) cần đưa qua kênh hỗ trợ để xác minh sở hữu.,"- Chuyển cấp: nghi vấn hack, mất tài sản trong game, tranh chấp sở hữu → support.vnggames.com. Thu thập: loại tài khoản, tên nhân vật, server, mô tả + thời điểm sự việc, lịch sử giao dịch nạp.",Hỗ trợ VNGGames (https://support.vnggames.com) · Điều khoản & tiêu chuẩn cộng đồng (https://policies.vnggames.com),"2026-06-13 · Độ tin cậy: ⚠️ tùy chính sách (quy trình xác minh do VNG quyết định, không công bố chi tiết)"
02-nap-the-giao-dich.md,Tôi nạp tiền/kim cương vào ZingSpeed Mobile bằng cách nào?,Bạn nạp qua cổng thanh toán chính thức của VNG (pay.zing.vn / napthe.vn). Các bước chung: 1. Truy cập cổng nạp chính thức. 2. Đăng nhập đúng tài khoản đang chơi. 3. Chọn server và nhân vật cần nạp. 4. Chọn gói/mệnh giá và phương thức thanh toán. 5. Hoàn tất theo hướng dẫn. ⚠️ Chỉ nạp qua kênh chính thức của VNG để tránh bị lừa đảo.,"- Cổng nạp VNG: pay.zing.vn, napthe.vn. Có thể nạp trực tiếp trong game qua store (Google Play/App Store) tùy phiên bản. - Trước khi đọc các bước, xác nhận user đang nói tới nạp qua web hay trong game (in-app) — cách xử lý lỗi khác nhau.",- CS tự trả lời được: có (hướng dẫn cách nạp).,Cổng nạp VNG (https://pay.zing.vn) · napthe.vn (https://napthe.vn),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản (kiểm tra cổng nạp & danh sách phương thức hiện hành)
02-nap-the-giao-dich.md,Có những phương thức thanh toán nào?,"Cổng nạp VNG hỗ trợ nhiều phương thức như thẻ game (Zing Card), thẻ điện thoại/SMS, ví Zalo (ZaloPay), thẻ ATM nội địa, thẻ quốc tế (Visa/Mastercard) và một số ví/đối tác liên kết. Danh sách cụ thể hiển thị ngay trên cổng nạp khi bạn thanh toán.",- Danh sách phương thức thay đổi theo thời điểm → không cam kết cứng. Hướng user xem trực tiếp trên cổng nạp. - Nạp in-app qua store thì phương thức theo store (Google Play/App Store).,- CS tự trả lời được: có.,Cổng nạp VNG (https://pay.zing.vn),2026-06-13 · Độ tin cậy: ⚠️ tùy phiên bản
